iter	Passed	Remaining
0	2067	514684
1	4066	504305
2	6005	494445
3	7893	485479
4	9807	480574
5	11729	477009
6	13701	475621
7	15710	475244
8	17675	473311
9	19625	471018
10	21586	469013
11	23581	467694
12	25502	464927
13	27453	462788
14	29394	460520
15	31389	459075
16	33399	457769
17	35424	456584
18	37444	455251
19	39430	453451
20	41438	451880
21	43431	450111
22	45437	448443
23	47477	447082
24	49481	445334
25	51602	444573
26	53613	442807
27	55659	441303
28	57669	439478
29	59597	437051
30	61660	435602
31	63744	434257
32	65792	432635
33	67820	430861
34	69861	429150
35	71856	427146
36	73894	425390
37	75871	423285
38	77879	421349
39	79972	419853
40	82072	418370
41	84170	416845
42	86300	415446
43	88393	413841
44	90476	412168
45	92596	410646
46	94715	409090
47	96817	407441
48	98981	406027
49	101093	404372
50	103162	402535
51	105285	400894
52	107390	399169
53	109522	397525
54	111648	395845
55	113752	394072
56	115863	392308
57	117964	390504
58	120119	388860
59	122255	387141
60	124368	385337
61	126534	383685
62	128656	381886
63	130814	380180
64	132969	378452
65	135105	376657
66	137243	374860
67	139385	373060
68	141491	371159
69	143648	369381
70	145825	367645
71	147961	365794
72	150127	364008
73	152279	362177
74	154429	360335
75	156596	358523
76	158798	356781
77	160922	354855
78	163117	353078
79	165288	351238
80	167463	349398
81	169670	347617
82	171902	345875
83	174068	343993
84	176234	342101
85	178432	340267
86	180482	338145
87	182656	336254
88	184761	334231
89	186907	332280
90	189049	330316
91	191159	328295
92	193243	326228
93	195369	324229
94	197612	322420
95	199853	320599
96	202124	318815
97	204211	316736
98	206334	314711
99	208435	312653
100	210532	310587
101	212724	308658
102	214946	306768
103	217274	305020
104	219396	302976
105	221579	301013
106	223824	299129
107	226028	297185
108	228215	295214
109	230489	293350
110	232768	291485
111	235062	289630
112	237198	287577
113	239371	285566
114	241580	283594
115	243727	281546
116	245909	279537
117	248105	277542
118	250308	275549
119	252578	273626
120	254831	271679
121	257066	269708
122	259265	267697
123	261469	265686
124	263634	263634
125	265802	261583
126	268019	259577
127	270203	257538
128	272391	255498
129	274555	253436
130	276703	251356
131	278860	249284
132	281067	247254
133	283196	245155
134	285368	243091
135	287488	240982
136	289778	239014
137	292057	237031
138	294188	234927
139	296344	232841
140	298447	230714
141	300623	228643
142	302762	226542
143	304994	224509
144	307187	222445
145	309406	220399
146	311572	218313
147	313831	216289
148	316153	214305
149	318471	212314
150	320749	210292
151	323050	208282
152	325451	206332
153	327815	204352
154	330196	202378
155	332481	200341
156	334721	198274
157	337063	196264
158	339248	194160
159	341530	192110
160	343772	190035
161	346058	187982
162	348269	185886
163	350678	183892
164	352964	181830
165	355287	179783
166	357615	177737
167	359946	175688
168	362191	173594
169	364595	171574
170	366890	169498
171	369264	167457
172	371624	165405
173	373947	163333
174	376272	161259
175	378474	159131
176	380858	157077
177	383136	154976
178	385408	152871
179	387650	150753
180	389859	148620
181	392131	146510
182	394366	144385
183	396638	142272
184	398996	140187
185	401420	138123
186	403690	136002
187	405907	133862
188	408296	131778
189	410571	129654
190	412943	127558
191	415251	125440
192	417572	123324
193	419925	121215
194	422118	119058
195	424241	116882
196	425235	114403
197	427249	112206
198	429350	110034
199	431436	107859
200	433552	105691
201	435737	103541
202	437903	101386
203	440019	99220
204	442127	97052
205	444315	94902
206	446453	92741
207	448637	90590
208	449792	88236
209	452032	86101
210	454227	83956
211	456539	81832
212	458828	79702
213	460956	77544
214	463138	75394
215	465273	73237
216	467490	71093
217	468587	68783
218	469717	66489
219	470799	64199
220	471936	61928
221	474088	59794
222	476231	57660
223	478392	55527
224	480574	53397
225	482784	51269
226	485003	49141
227	487230	47013
228	489436	44882
229	491666	42753
230	493897	40623
231	496048	38486
232	498267	36354
233	500436	34217
234	502628	32082
235	504792	29945
236	506914	27805
237	509038	25665
238	511173	23526
239	513315	21388
240	515554	19253
241	516668	17079
242	518861	14946
243	521072	12813
244	523342	10680
245	525548	8545
246	527742	6409
247	529918	4273
248	532131	2137
249	534395	0
